,year,gameid,league,teamname,side,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result
0,2022,8401-8401_game_1,LPL,Oh My God,Blue,Renekton,Lee Sin,Caitlyn,Jayce,Camille,Gwen,Jarvan IV,Syndra,Jinx,Nautilus,1
1,2022,8401-8401_game_1,LPL,ThunderTalk Gaming,Red,Samira,Diana,Akali,LeBlanc,Rumble,Jax,Xin Zhao,Vex,Aphelios,Thresh,0
2,2022,8401-8401_game_2,LPL,Oh My God,Blue,Renekton,Caitlyn,Thresh,Jayce,Camille,Rumble,Xin Zhao,Corki,Jinx,Rakan,1
3,2022,8401-8401_game_2,LPL,ThunderTalk Gaming,Red,Samira,Diana,Jarvan IV,LeBlanc,Akali,Gangplank,Lee Sin,Twisted Fate,Ziggs,Leona,0
4,2022,8402-8402_game_1,LPL,FunPlus Phoenix,Blue,LeBlanc,Twisted Fate,Aphelios,Nautilus,Leona,Graves,Viego,Corki,Jinx,Thresh,1
5,2022,8402-8402_game_1,LPL,Royal Never Give Up,Red,Renekton,Diana,Caitlyn,Malphite,Camille,Jayce,Xin Zhao,Viktor,Jhin,Sett,0
6,2022,8402-8402_game_2,LPL,FunPlus Phoenix,Blue,LeBlanc,Twisted Fate,Aphelios,Corki,Jayce,Gwen,Viego,Viktor,Caitlyn,Lux,0
7,2022,8402-8402_game_2,LPL,Royal Never Give Up,Red,Renekton,Diana,Vex,Syndra,Ryze,Jax,Xin Zhao,Zoe,Jhin,Karma,1
8,2022,8402-8402_game_3,LPL,Royal Never Give Up,Blue,Renekton,Diana,Caitlyn,Kennen,Jax,Gwen,Jarvan IV,Syndra,Jinx,Thresh,0
9,2022,8402-8402_game_3,LPL,FunPlus Phoenix,Red,Twisted Fate,Xin Zhao,LeBlanc,Zoe,Vex,Jayce,Lee Sin,Corki,Aphelios,Lulu,1
10,2022,8403-8403_game_1,LPL,JD Gaming,Blue,Jinx,Caitlyn,Viego,Graves,Gwen,Jayce,Xin Zhao,Zoe,Kai'Sa,Rakan,0
11,2022,8403-8403_game_1,LPL,EDward Gaming,Red,Renekton,Twisted Fate,Aphelios,Kennen,Sion,Annie,Lee Sin,Ryze,Jhin,Leona,1
12,2022,8403-8403_game_2,LPL,JD Gaming,Blue,Caitlyn,Jinx,Viego,Alistar,Annie,Kennen,Xin Zhao,Zoe,Samira,Leona,0
13,2022,8403-8403_game_2,LPL,EDward Gaming,Red,Renekton,Twisted Fate,Aphelios,Sion,Rell,Vladimir,Lee Sin,Vex,Jhin,Nautilus,1
14,2022,8404-8404_game_1,LPL,LGD Gaming,Blue,Jarvan IV,Viego,Lee Sin,Gangplank,Jayce,Akali,Xin Zhao,Viktor,Jinx,Braum,1
15,2022,8404-8404_game_1,LPL,Anyone's Legend,Red,Renekton,Caitlyn,Lulu,Galio,Vex,Camille,Olaf,LeBlanc,Ziggs,Leona,0
16,2022,8404-8404_game_2,LPL,Anyone's Legend,Blue,Renekton,Akali,Viego,Viktor,Irelia,Jayce,Xin Zhao,Ryze,Aphelios,Thresh,1
17,2022,8404-8404_game_2,LPL,LGD Gaming,Red,Caitlyn,LeBlanc,Jarvan IV,Corki,Zoe,Kennen,Olaf,Orianna,Jinx,Lulu,0
18,2022,8404-8404_game_3,LPL,LGD Gaming,Blue,Jarvan IV,Viego,Xin Zhao,Gangplank,Olaf,Kennen,Talon,Viktor,Jinx,Nautilus,0
19,2022,8404-8404_game_3,LPL,Anyone's Legend,Red,Renekton,Caitlyn,Lee Sin,Galio,LeBlanc,Camille,Graves,Akali,Aphelios,Thresh,1
20,2022,8405-8405_game_1,LPL,Rare Atom,Blue,LeBlanc,Syndra,Akshan,Vex,Zoe,Gwen,Rek'Sai,Corki,Caitlyn,Lux,1
21,2022,8405-8405_game_1,LPL,Top Esports,Red,Twisted Fate,Renekton,Jarvan IV,Xin Zhao,Ornn,Kennen,Lee Sin,Viktor,Jhin,Karma,0
22,2022,8405-8405_game_2,LPL,Top Esports,Blue,Renekton,Twisted Fate,LeBlanc,Rek'Sai,Jax,Gwen,Viego,Tryndamere,Ziggs,Nautilus,0
23,2022,8405-8405_game_2,LPL,Rare Atom,Red,Caitlyn,Jinx,Aphelios,Syndra,Sylas,Jayce,Lee Sin,Corki,Kai'Sa,Leona,1
24,2022,8406-8406_game_1,LPL,Ultra Prime,Blue,Camille,Twisted Fate,Jhin,Viktor,Tryndamere,Kennen,Xin Zhao,Corki,Jinx,Leona,0
25,2022,8406-8406_game_1,LPL,LNG Esports,Red,Thresh,Renekton,Caitlyn,Nautilus,Jayce,Irelia,Lee Sin,Ryze,Aphelios,Lulu,1
26,2022,8406-8406_game_2,LPL,Ultra Prime,Blue,Twisted Fate,Jhin,Lee Sin,Camille,Jax,Gwen,Udyr,Corki,Jinx,Blitzcrank,0
27,2022,8406-8406_game_2,LPL,LNG Esports,Red,Thresh,Renekton,Xin Zhao,Jayce,Kennen,Fiora,Jarvan IV,Viktor,Caitlyn,Lux,1
28,2022,8407-8407_game_1,LPL,ThunderTalk Gaming,Blue,Nidalee,LeBlanc,Diana,Akali,Syndra,Camille,Xin Zhao,Corki,Jinx,Lulu,0
29,2022,8407-8407_game_1,LPL,Invictus Gaming,Red,Caitlyn,Renekton,Twisted Fate,Tryndamere,Jayce,Gwen,Lee Sin,Vex,Aphelios,Rakan,1
30,2022,8407-8407_game_2,LPL,Invictus Gaming,Blue,Twisted Fate,Renekton,Tryndamere,Nautilus,Syndra,Jayce,Xin Zhao,LeBlanc,Jinx,Lulu,1
31,2022,8407-8407_game_2,LPL,ThunderTalk Gaming,Red,Nidalee,Diana,Caitlyn,Kennen,Graves,Gwen,Lee Sin,Vex,Aphelios,Thresh,0
32,2022,8408-8408_game_1,LPL,Team WE,Blue,Twisted Fate,Jhin,Zoe,Akali,Gnar,Renekton,Xin Zhao,Corki,Jinx,Rakan,0
33,2022,8408-8408_game_1,LPL,Weibo Gaming,Red,Caitlyn,LeBlanc,Lee Sin,Syndra,Vex,Gwen,Jarvan IV,Viktor,Aphelios,Thresh,1
34,2022,8408-8408_game_2,LPL,Weibo Gaming,Blue,Caitlyn,LeBlanc,Jinx,Jayce,Akshan,Graves,Lee Sin,Vex,Aphelios,Rakan,1
35,2022,8408-8408_game_2,LPL,Team WE,Red,Twisted Fate,Zoe,Jarvan IV,Syndra,Gwen,Sion,Xin Zhao,Corki,Jhin,Sona,0
36,2022,8409-8409_game_1,LPL,LGD Gaming,Blue,Aphelios,Jinx,Karma,Jayce,Gwen,Camille,Xin Zhao,Galio,Ezreal,Braum,0
37,2022,8409-8409_game_1,LPL,FunPlus Phoenix,Red,Renekton,LeBlanc,Caitlyn,Syndra,Akali,Jax,Lee Sin,Corki,Jhin,Leona,1
38,2022,8409-8409_game_2,LPL,LGD Gaming,Blue,Aphelios,Jinx,Karma,Vayne,Jax,Gwen,Xin Zhao,Vex,Ezreal,Braum,0
39,2022,8409-8409_game_2,LPL,FunPlus Phoenix,Red,Renekton,LeBlanc,Caitlyn,Syndra,Akali,Jayce,Lee Sin,Corki,Kai'Sa,Leona,1
40,2022,8410-8410_game_1,LPL,Anyone's Legend,Blue,Samira,Yasuo,Renekton,Rumble,Rakan,Jayce,Xin Zhao,Sylas,Jhin,Leona,0
41,2022,8410-8410_game_1,LPL,Oh My God,Red,Caitlyn,LeBlanc,Thresh,Ziggs,Ezreal,Graves,Jarvan IV,Akali,Jinx,Rell,1
42,2022,8410-8410_game_2,LPL,Oh My God,Blue,LeBlanc,Caitlyn,Lee Sin,Ziggs,Jhin,Rumble,Jarvan IV,Viktor,Jinx,Thresh,1
43,2022,8410-8410_game_2,LPL,Anyone's Legend,Red,Akali,Xin Zhao,Renekton,Syndra,Vex,Sett,Viego,Corki,Varus,Leona,0
44,2022,8411-8411_game_1,LPL,Royal Never Give Up,Blue,LeBlanc,Zoe,Thresh,Jayce,Jax,Akshan,Jarvan IV,Twisted Fate,Aphelios,Nautilus,1
45,2022,8411-8411_game_1,LPL,JD Gaming,Red,Caitlyn,Xin Zhao,Renekton,Camille,Gwen,Graves,Lee Sin,Corki,Ziggs,Leona,0
